"species","year","country","mean"
"Aeshna_cyanea",2012,"Spain",0.03105
"Aeshna_cyanea",2012,"Sweden",0.06217
"Aeshna_cyanea",2012,"Switzerland",0.34747
"Aeshna_cyanea",2012,"United Kingdom",0.27532
"Aeshna_cyanea",2012,"All",0.11232
"Aeshna_cyanea",2013,"Austria",0.09966
"Aeshna_cyanea",2013,"Belgium",0.44541
"Aeshna_cyanea",2013,"Cyprus",0
"Aeshna_cyanea",2013,"Czechia",0.2344
"Aeshna_cyanea",2013,"Denmark",0.04356
"Aeshna_cyanea",2013,"Finland",0.02645
"Aeshna_cyanea",2013,"France",0.22501
"Aeshna_cyanea",2013,"Ireland",0
"Aeshna_cyanea",2013,"Isle of Man",0
"Aeshna_cyanea",2013,"Italy",0.06847
"Aeshna_cyanea",2013,"Luxembourg",0.37418
"Aeshna_cyanea",2013,"Netherlands",0.36887
"Aeshna_cyanea",2013,"Portugal",0.00501
"Aeshna_cyanea",2013,"Slovenia",0.18274
"Aeshna_cyanea",2013,"Spain",0.02845
"Aeshna_cyanea",2013,"Sweden",0.05896
"Aeshna_cyanea",2013,"Switzerland",0.40144
"Aeshna_cyanea",2013,"United Kingdom",0.24264
"Aeshna_cyanea",2013,"All",0.12077
"Aeshna_cyanea",2014,"Austria",0.07896
"Aeshna_cyanea",2014,"Belgium",0.39622
"Aeshna_cyanea",2014,"Cyprus",0
"Aeshna_cyanea",2014,"Czechia",0.22007
"Aeshna_cyanea",2014,"Denmark",0.08808
"Aeshna_cyanea",2014,"Finland",0.0206
"Aeshna_cyanea",2014,"France",0.20293
"Aeshna_cyanea",2014,"Ireland",0
"Aeshna_cyanea",2014,"Isle of Man",0
"Aeshna_cyanea",2014,"Italy",0.06849
"Aeshna_cyanea",2014,"Luxembourg",0.36167
"Aeshna_cyanea",2014,"Netherlands",0.34804
"Aeshna_cyanea",2014,"Portugal",0.02393
"Aeshna_cyanea",2014,"Slovenia",0.22466
"Aeshna_cyanea",2014,"Spain",0.02525
"Aeshna_cyanea",2014,"Sweden",0.05603
"Aeshna_cyanea",2014,"Switzerland",0.33612
"Aeshna_cyanea",2014,"United Kingdom",0.22031
"Aeshna_cyanea",2014,"All",0.11137
"Aeshna_cyanea",2015,"Austria",0.0791
"Aeshna_cyanea",2015,"Belgium",0.43186
"Aeshna_cyanea",2015,"Cyprus",0
"Aeshna_cyanea",2015,"Czechia",0.28107
"Aeshna_cyanea",2015,"Denmark",0.10013
"Aeshna_cyanea",2015,"Finland",0.02899
"Aeshna_cyanea",2015,"France",0.20087
"Aeshna_cyanea",2015,"Ireland",0
"Aeshna_cyanea",2015,"Isle of Man",0
"Aeshna_cyanea",2015,"Italy",0.09092
"Aeshna_cyanea",2015,"Luxembourg",0.40042
"Aeshna_cyanea",2015,"Netherlands",0.35173
"Aeshna_cyanea",2015,"Portugal",0.01423
"Aeshna_cyanea",2015,"Slovenia",0.23094
"Aeshna_cyanea",2015,"Spain",0.02393
"Aeshna_cyanea",2015,"Sweden",0.05721
"Aeshna_cyanea",2015,"Switzerland",0.40445
"Aeshna_cyanea",2015,"United Kingdom",0.2389
"Aeshna_cyanea",2015,"All",0.11917
"Aeshna_cyanea",2016,"Austria",0.08858
"Aeshna_cyanea",2016,"Belgium",0.42924
"Aeshna_cyanea",2016,"Cyprus",0
"Aeshna_cyanea",2016,"Czechia",0.1781
"Aeshna_cyanea",2016,"Denmark",0.10792
"Aeshna_cyanea",2016,"Finland",0.01415
"Aeshna_cyanea",2016,"France",0.20695
"Aeshna_cyanea",2016,"Ireland",0
"Aeshna_cyanea",2016,"Isle of Man",0
"Aeshna_cyanea",2016,"Italy",0.09604
"Aeshna_cyanea",2016,"Luxembourg",0.20231
"Aeshna_cyanea",2016,"Netherlands",0.36512
